UNIQUE_CARRIER_NAME,Date,Open,High,Low,Close,Adj Close,Volume
Southwest Airlines Co.,8/1/1990,1.22,1.23,0.99,1.09,0.94,87322051
Southwest Airlines Co.,9/1/1990,1.09,1.13,0.84,0.91,0.78,40603785
Southwest Airlines Co.,10/1/1990,0.91,1.19,0.87,1.10,0.95,45384810
Southwest Airlines Co.,11/1/1990,1.10,1.17,1.05,1.15,0.99,30885306
Southwest Airlines Co.,12/1/1990,1.19,1.32,1.12,1.15,0.99,30215533
Southwest Airlines Co.,1/1/1991,1.14,1.58,1.08,1.56,1.34,75079410
Southwest Airlines Co.,2/1/1991,1.53,1.78,1.49,1.75,1.51,72947084
Southwest Airlines Co.,3/1/1991,1.74,1.87,1.66,1.84,1.58,45377212
Southwest Airlines Co.,4/1/1991,1.85,1.96,1.51,1.55,1.33,73692791
Southwest Airlines Co.,5/1/1991,1.57,1.73,1.44,1.69,1.45,62326464
Southwest Airlines Co.,6/1/1991,1.68,1.80,1.57,1.71,1.47,51096828
Southwest Airlines Co.,7/1/1991,1.72,1.80,1.62,1.78,1.53,40713133
Southwest Airlines Co.,8/1/1991,1.78,1.78,1.56,1.60,1.38,52834278
Southwest Airlines Co.,9/1/1991,1.60,1.65,1.46,1.60,1.38,58973065
Southwest Airlines Co.,10/1/1991,1.60,1.89,1.60,1.86,1.60,47211865
Southwest Airlines Co.,11/1/1991,1.85,1.99,1.70,1.90,1.64,50998109
Southwest Airlines Co.,12/1/1991,1.88,2.30,1.86,2.25,1.94,69262597
Southwest Airlines Co.,1/1/1992,2.21,2.54,2.13,2.16,1.86,69361315
Southwest Airlines Co.,2/1/1992,2.16,2.69,2.13,2.59,2.24,95594686
Southwest Airlines Co.,3/1/1992,2.60,2.73,2.39,2.48,2.14,49942574
Southwest Airlines Co.,4/1/1992,2.48,2.67,2.30,2.60,2.24,50468064
Southwest Airlines Co.,5/1/1992,2.63,2.96,2.51,2.84,2.45,80129253
Southwest Airlines Co.,6/1/1992,2.82,3.10,2.70,2.82,2.44,55569546
Southwest Airlines Co.,7/1/1992,2.80,3.03,2.63,2.93,2.53,43531173
Southwest Airlines Co.,8/1/1992,2.91,3.01,2.75,2.80,2.42,26798346
Southwest Airlines Co.,9/1/1992,2.81,3.29,2.81,3.09,2.67,34245536
Southwest Airlines Co.,10/1/1992,3.13,3.42,2.91,3.33,2.87,29406037
Southwest Airlines Co.,11/1/1992,3.33,3.57,3.23,3.52,3.04,27272195
Southwest Airlines Co.,12/1/1992,3.54,3.93,3.41,3.88,3.36,32888531
Southwest Airlines Co.,1/1/1993,3.88,4.00,3.59,3.90,3.37,38290725
Southwest Airlines Co.,2/1/1993,3.95,4.74,3.93,4.48,3.87,56268169
Southwest Airlines Co.,3/1/1993,4.54,4.97,4.48,4.97,4.30,31953741
Southwest Airlines Co.,4/1/1993,4.94,5.66,4.38,4.86,4.20,82346627
Southwest Airlines Co.,5/1/1993,4.84,5.53,4.74,5.43,4.70,43224386
Southwest Airlines Co.,6/1/1993,5.45,5.93,5.27,5.74,4.97,48082867
Southwest Airlines Co.,7/1/1993,5.78,6.59,5.51,6.52,5.64,45732094
Southwest Airlines Co.,8/1/1993,6.52,7.43,6.47,6.96,6.02,42526017
Southwest Airlines Co.,9/1/1993,6.96,7.04,6.17,6.84,5.92,41791447
Southwest Airlines Co.,10/1/1993,6.81,7.09,5.88,6.15,5.32,73394607
Southwest Airlines Co.,11/1/1993,6.12,7.09,6.05,6.86,5.94,69595203
Southwest Airlines Co.,12/1/1993,6.89,7.43,6.49,7.38,6.39,51613712
Southwest Airlines Co.,1/1/1994,7.36,7.48,7.01,7.36,6.37,31963616
Southwest Airlines Co.,2/1/1994,7.33,7.70,6.62,6.74,5.83,47934283
Southwest Airlines Co.,3/1/1994,6.81,7.11,6.17,6.47,5.60,49911697
Southwest Airlines Co.,4/1/1994,6.32,6.79,5.83,6.17,5.34,53039815
Southwest Airlines Co.,5/1/1994,6.20,6.25,4.77,5.51,4.77,132118092
Southwest Airlines Co.,6/1/1994,5.56,5.60,5.01,5.19,4.49,69523821
Southwest Airlines Co.,7/1/1994,5.16,5.85,5.06,5.36,4.64,99312585
Southwest Airlines Co.,8/1/1994,5.33,5.58,5.06,5.23,4.53,42252135
Southwest Airlines Co.,9/1/1994,5.26,5.33,4.27,4.44,3.85,115370834
Southwest Airlines Co.,10/1/1994,4.47,4.69,4.10,4.67,4.04,105186094
Southwest Airlines Co.,11/1/1994,4.64,4.67,3.98,4.17,3.62,70279651
Southwest Airlines Co.,12/1/1994,4.20,4.20,3.06,3.31,2.87,155547846
Southwest Airlines Co.,1/1/1995,3.36,3.95,3.33,3.83,3.32,103201597
Southwest Airlines Co.,2/1/1995,3.80,3.83,3.33,3.48,3.02,84677909
Southwest Airlines Co.,3/1/1995,3.48,3.60,3.23,3.53,3.06,59528929
Southwest Airlines Co.,4/1/1995,3.53,4.64,3.48,4.57,3.96,83655788
Southwest Airlines Co.,5/1/1995,4.54,4.57,4.07,4.37,3.79,81958839
Southwest Airlines Co.,6/1/1995,4.35,5.09,4.22,4.72,4.09,84709296
Southwest Airlines Co.,7/1/1995,4.69,5.90,4.67,5.68,4.93,102589537
Southwest Airlines Co.,8/1/1995,5.65,5.73,4.99,5.11,4.43,81113401
Southwest Airlines Co.,9/1/1995,5.09,5.46,4.74,4.96,4.31,61133234
Southwest Airlines Co.,10/1/1995,4.99,5.01,3.90,3.95,3.43,79733871
Southwest Airlines Co.,11/1/1995,3.95,5.09,3.95,4.94,4.29,53393684
Southwest Airlines Co.,12/1/1995,4.96,5.16,4.37,4.54,3.94,51847090
Southwest Airlines Co.,1/1/1996,4.54,5.19,4.37,5.19,4.50,82452435
Southwest Airlines Co.,2/1/1996,5.19,6.30,5.01,6.07,5.27,108465580
Southwest Airlines Co.,3/1/1996,6.10,6.52,5.63,5.88,5.10,68072402
Southwest Airlines Co.,4/1/1996,5.83,6.57,5.63,5.88,5.10,86057441
Southwest Airlines Co.,5/1/1996,5.88,6.05,5.09,5.41,4.70,89546514
Southwest Airlines Co.,6/1/1996,5.43,5.90,5.31,5.75,5.00,74166134
Southwest Airlines Co.,7/1/1996,5.73,5.73,4.42,4.89,4.25,73640140
Southwest Airlines Co.,8/1/1996,4.91,5.14,4.42,4.49,3.91,64344884
Southwest Airlines Co.,9/1/1996,4.44,4.64,4.22,4.52,3.93,85789634
Southwest Airlines Co.,10/1/1996,4.52,4.62,4.07,4.44,3.86,116943247
Southwest Airlines Co.,11/1/1996,4.47,5.14,4.47,4.91,4.27,81857084
Southwest Airlines Co.,12/1/1996,4.89,5.06,4.32,4.35,3.78,76650301
Southwest Airlines Co.,1/1/1997,4.42,4.59,4.20,4.35,3.78,77127697
Southwest Airlines Co.,2/1/1997,4.35,4.94,4.27,4.64,4.04,58838404
Southwest Airlines Co.,3/1/1997,4.62,4.81,4.37,4.37,3.80,43898458
Southwest Airlines Co.,4/1/1997,4.40,5.53,4.25,5.43,4.73,89078233
Southwest Airlines Co.,5/1/1997,5.43,5.51,5.04,5.09,4.43,73592044
Southwest Airlines Co.,6/1/1997,5.09,5.30,4.94,5.11,4.45,62810441
Southwest Airlines Co.,7/1/1997,5.33,5.85,5.14,5.73,4.99,80860783
Southwest Airlines Co.,8/1/1997,5.73,5.93,5.43,5.53,4.81,56097566
Southwest Airlines Co.,9/1/1997,5.56,6.56,5.54,6.32,5.50,99627473
Southwest Airlines Co.,10/1/1997,6.42,7.21,5.58,6.44,5.61,103263360
Southwest Airlines Co.,11/1/1997,6.47,7.38,6.47,7.24,6.31,55892365
Southwest Airlines Co.,12/1/1997,7.24,7.78,6.67,7.30,6.35,62988646
Southwest Airlines Co.,1/1/1998,7.37,8.41,6.81,7.72,6.73,71378894
Southwest Airlines Co.,2/1/1998,8.28,9.33,7.93,8.50,7.41,90661618
Southwest Airlines Co.,3/1/1998,8.52,9.52,7.56,8.76,7.63,81041180
Southwest Airlines Co.,4/1/1998,8.89,9.20,7.63,8.13,7.09,70558431
Southwest Airlines Co.,5/1/1998,8.22,8.30,7.48,7.91,6.89,64192505
Southwest Airlines Co.,6/1/1998,7.93,8.93,7.67,8.76,7.63,56029394
Southwest Airlines Co.,7/1/1998,8.80,9.94,8.52,9.76,8.51,71508494
Southwest Airlines Co.,8/1/1998,9.69,9.83,7.64,7.92,6.90,67873390
Southwest Airlines Co.,9/1/1998,8.11,10.39,7.69,9.00,7.85,54388575
