YEAR,QUARTER,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,CARRIER_GROUP_NEW,Open,High,Low,Close,Adj Close,Volume
2022,2,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,58.360001,61.549999,38.189999,40.049999,40.049999,120051100
2022,3,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,40.25,48.759998,38.439999,39.150002,39.150002,94407500
2022,4,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,39.349998,47.990002,38.720001,42.939999,42.939999,88832500
2023,1,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,43.52,53.959999,37.200001,41.959999,41.959999,95241800
2023,2,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,42.259998,53.400002,41.25,53.18,53.18,97901000
2023,3,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,53.07,57.18,36.150002,37.080002,37.080002,116034500
2023,4,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,37.040001,41.220001,30.75,39.07,39.07,230435000
2024,1,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,38.689999,43.27,33.240002,42.990002,42.990002,150089400
2007,1,G4,20368,Allegiant Air,G4,Allegiant Air,2,28.360001,36.509998,25.83,31.5,25.514221,6250200
2007,2,G4,20368,Allegiant Air,G4,Allegiant Air,2,31.5,35.650002,27.530001,30.74,24.89864,9731400
2007,3,G4,20368,Allegiant Air,G4,Allegiant Air,2,30.84,34,27.559999,30.32,24.558443,6095800
2007,4,G4,20368,Allegiant Air,G4,Allegiant Air,2,30.299999,38.740002,29.9,32.139999,26.0326,6175500
2008,1,G4,20368,Allegiant Air,G4,Allegiant Air,2,32.07,32.459999,19.969999,26.42,21.399544,9194000
2008,2,G4,20368,Allegiant Air,G4,Allegiant Air,2,26.860001,28.93,18.52,18.59,15.057433,13326700
2008,3,G4,20368,Allegiant Air,G4,Allegiant Air,2,18.26,35.939999,15.89,35.32,28.608326,22124800
2008,4,G4,20368,Allegiant Air,G4,Allegiant Air,2,34.450001,49.060001,23.52,48.57,39.340492,22603700
2009,1,G4,20368,Allegiant Air,G4,Allegiant Air,2,48.98,48.98,32.07,45.459999,36.821468,34015200
2009,2,G4,20368,Allegiant Air,G4,Allegiant Air,2,42.110001,57.52,33.200001,39.639999,32.107414,41856700
2009,3,G4,20368,Allegiant Air,G4,Allegiant Air,2,40.459999,47.450001,35.75,38.09,30.851954,22876500
2009,4,G4,20368,Allegiant Air,G4,Allegiant Air,2,37.830002,48.990002,34.880001,47.169998,38.206524,23900600
2010,1,G4,20368,Allegiant Air,G4,Allegiant Air,2,47.18,59.040001,47.169998,57.860001,46.865154,18922700
2010,2,G4,20368,Allegiant Air,G4,Allegiant Air,2,57.959999,58.119999,42.040001,42.689999,35.092083,20089900
2010,3,G4,20368,Allegiant Air,G4,Allegiant Air,2,43.130001,46.369999,37.049999,42.32,34.787937,16101700
2010,4,G4,20368,Allegiant Air,G4,Allegiant Air,2,42.779999,52.950001,38.119999,49.240002,40.47633,14985800
2011,1,G4,20368,Allegiant Air,G4,Allegiant Air,2,49.630001,52.349998,39.209999,43.810001,36.01276,15121400
2011,2,G4,20368,Allegiant Air,G4,Allegiant Air,2,44.09,50.290001,38.950001,49.5,40.690052,11359600
2011,3,G4,20368,Allegiant Air,G4,Allegiant Air,2,49.619999,49.93,40.310001,47.130001,38.741856,11346900
2011,4,G4,20368,Allegiant Air,G4,Allegiant Air,2,47.130001,55.360001,45.25,53.34,43.846603,7367000
2012,1,G4,20368,Allegiant Air,G4,Allegiant Air,2,54.41,57.759998,47.32,54.5,44.800152,8626400
2012,2,G4,20368,Allegiant Air,G4,Allegiant Air,2,54.470001,71.419998,54.200001,69.68,57.278431,10709100
2012,3,G4,20368,Allegiant Air,G4,Allegiant Air,2,70,75.93,61.630001,63.360001,52.083256,8453500
2012,4,G4,20368,Allegiant Air,G4,Allegiant Air,2,63.41,77.970001,63.400002,73.410004,62.027126,6491600
2013,1,G4,20368,Allegiant Air,G4,Allegiant Air,2,74.480003,89.459999,72.169998,88.779999,75.01387,7628500
2013,2,G4,20368,Allegiant Air,G4,Allegiant Air,2,88.400002,108.559998,82.790001,105.989998,89.555305,6676700
2013,3,G4,20368,Allegiant Air,G4,Allegiant Air,2,107.169998,109.720001,91.059998,105.360001,89.02298,6881000
2013,4,G4,20368,Allegiant Air,G4,Allegiant Air,2,105.660004,114.769997,96.690002,105.440002,89.090614,4873200
2014,1,G4,20368,Allegiant Air,G4,Allegiant Air,2,105.330002,112.440002,81.190002,111.93,96.597946,8602600
2014,2,G4,20368,Allegiant Air,G4,Allegiant Air,2,112.389999,124.610001,109.019997,117.769997,101.638031,6948800
2014,3,G4,20368,Allegiant Air,G4,Allegiant Air,2,118.260002,128.550003,113.790001,123.660004,106.721191,6674800
2014,4,G4,20368,Allegiant Air,G4,Allegiant Air,2,123.239998,152.139999,104.519997,150.330002,129.737946,10275000
2015,1,G4,20368,Allegiant Air,G4,Allegiant Air,2,151.869995,199.199997,144.509995,192.289993,169.011673,9538700
2015,2,G4,20368,Allegiant Air,G4,Allegiant Air,2,191.380005,191.399994,151.039993,177.880005,156.794937,10819400
2015,3,G4,20368,Allegiant Air,G4,Allegiant Air,2,180.429993,238.130005,175,216.25,190.861435,13132400
2015,4,G4,20368,Allegiant Air,G4,Allegiant Air,2,215.360001,228.789993,166.589996,167.830002,148.360245,9772200
2016,1,G4,20368,Allegiant Air,G4,Allegiant Air,3,164.789993,182.5,134.639999,178.059998,158.875931,12009200
2016,2,G4,20368,Allegiant Air,G4,Allegiant Air,3,176.309998,183.910004,135.570007,151.5,136.079361,9546300
2016,3,G4,20368,Allegiant Air,G4,Allegiant Air,3,151.619995,152.809998,121.699997,132.070007,119.271172,10757100
2016,4,G4,20368,Allegiant Air,G4,Allegiant Air,3,132.089996,173.820007,131.449997,166.399994,150.913757,8426800
2017,1,G4,20368,Allegiant Air,G4,Allegiant Air,3,168.25,182.25,153.399994,160.25,145.336105,6846000
2017,2,G4,20368,Allegiant Air,G4,Allegiant Air,3,160.300003,169.149994,134.649994,135.600006,124.080254,9058800
2017,3,G4,20368,Allegiant Air,G4,Allegiant Air,3,136.399994,147,111.540001,131.699997,121.193794,9763900
2017,4,G4,20368,Allegiant Air,G4,Allegiant Air,3,132,162.350006,125.949997,154.75,143.133423,8961800
2018,1,G4,20368,Allegiant Air,G4,Allegiant Air,3,155.399994,181.449997,147.5,172.550003,159.597275,9542700
2018,2,G4,20368,Allegiant Air,G4,Allegiant Air,3,172.399994,177,135.75,138.949997,129.626343,13151900
2018,3,G4,20368,Allegiant Air,G4,Allegiant Air,3,137.899994,147,117.300003,126.800003,118.903618,12671200
2018,4,G4,20368,Allegiant Air,G4,Allegiant Air,3,127.160004,135.479996,98.209999,100.220001,94.542145,13876900
2019,1,G4,20368,Allegiant Air,G4,Allegiant Air,3,98.599998,142.970001,98.18,129.470001,122.782761,11102300
2019,2,G4,20368,Allegiant Air,G4,Allegiant Air,3,130.179993,148.800003,128.639999,143.5,136.088089,9121900
2019,3,G4,20368,Allegiant Air,G4,Allegiant Air,3,145.100006,157.5,136.869995,149.660004,142.623764,11821900
2019,4,G4,20368,Allegiant Air,G4,Allegiant Air,3,150.419998,183.259995,143.610001,174.039993,167.317261,9189900
2020,1,G4,20368,Allegiant Air,G4,Allegiant Air,3,175.139999,180.199997,60.060001,81.800003,79.062874,16049900
2020,2,G4,20368,Allegiant Air,G4,Allegiant Air,3,77.669998,139.679993,63.5,109.209999,105.555695,22974100
2020,3,G4,20368,Allegiant Air,G4,Allegiant Air,3,111.860001,144.869995,100.099998,119.800003,115.791351,12754000
2020,4,G4,20368,Allegiant Air,G4,Allegiant Air,3,122.019997,190.509995,112.709999,189.240005,182.907806,11714400
2021,1,G4,20368,Allegiant Air,G4,Allegiant Air,3,188.770004,271.290009,172.910004,244.059998,235.893433,9481600
2021,2,G4,20368,Allegiant Air,G4,Allegiant Air,3,245.539993,255.759995,187.089996,194,187.508514,12720300
2021,3,G4,20368,Allegiant Air,G4,Allegiant Air,3,194.970001,215.479996,171.529999,195.479996,188.938995,10089200
2021,4,G4,20368,Allegiant Air,G4,Allegiant Air,3,198.509995,206.399994,163.600006,187.039993,180.781403,10984100
2022,1,G4,20368,Allegiant Air,G4,Allegiant Air,3,188.380005,195.660004,132.029999,162.389999,156.956253,14113200
2022,2,G4,20368,Allegiant Air,G4,Allegiant Air,3,162.869995,176.559998,109.82,113.089996,109.305862,15697900
2022,3,G4,20368,Allegiant Air,G4,Allegiant Air,3,112.889999,122.360001,72.970001,72.980003,70.538002,14665200
2022,4,G4,20368,Allegiant Air,G4,Allegiant Air,3,72.620003,84.889999,62.939999,67.989998,65.714966,16143500
2023,1,G4,20368,Allegiant Air,G4,Allegiant Air,3,69.370003,105.510002,68.309998,91.980003,88.902245,13238100
2023,2,G4,20368,Allegiant Air,G4,Allegiant Air,3,91.269997,129,86.910004,126.279999,122.054512,12409500
2023,3,G4,20368,Allegiant Air,G4,Allegiant Air,3,125.910004,130.929993,73.959999,76.860001,74.718033,14117700
2023,4,G4,20368,Allegiant Air,G4,Allegiant Air,3,76.589996,85.910004,54.869999,82.610001,81.119392,16738800
2024,1,G4,20368,Allegiant Air,G4,Allegiant Air,3,81.650002,83.82,65.589996,75.209999,74.425194,15064800
2005,4,AA,19805,American Airlines Inc.,AA,American Airlines Inc.,3,20.9,38.799999,20.85,37.139999,35.013416,49212400
2006,1,AA,19805,American Airlines Inc.,AA,American Airlines Inc.,3,37.200001,40.599998,28.299999,40,37.709663,52146200
2006,2,AA,19805,American Airlines Inc.,AA,American Airlines Inc.,3,40,52.18,36.189999,50.540001,47.646152,96168600
2006,3,AA,19805,American Airlines Inc.,AA,American Airlines Inc.,3,50.630001,56.41,36.799999,44.330002,41.791729,111293300
